timestamp,region,case_count
2022-07-06,Total,128
2022-07-06,NYC,119
2022-07-06,Westchester,5
2022-07-06,Sullivan,1
2022-07-06,Chemung,1
2022-07-06,Rockland,1
2022-07-06,Suffolk,1
2022-07-07,Total,153
2022-07-07,NYC,141
2022-07-07,Westchester,6
2022-07-07,Sullivan,1
2022-07-07,Chemung,1
2022-07-07,Rockland,1
2022-07-07,Suffolk,3
2022-07-08,Total,174
2022-07-08,NYC,160
2022-07-08,Westchester,6
2022-07-08,Sullivan,1
2022-07-08,Chemung,1
2022-07-08,Rockland,1
2022-07-08,Suffolk,4
2022-07-08,Nassau,1
2022-07-11,Total,238
2022-07-11,NYC,223
2022-07-11,Westchester,7
2022-07-11,Suffolk,4
2022-07-11,Nassau,1
2022-07-11,Sullivan,1
2022-07-11,Chemung,1
2022-07-11,Rockland,1
2022-07-12,Total,288
2022-07-12,NYC,267
2022-07-12,Westchester,11
2022-07-12,Suffolk,4
2022-07-12,Nassau,1
2022-07-12,Sullivan,1
2022-07-12,Chemung,1
2022-07-12,Rockland,1
2022-07-12,Erie,1
2022-07-12,St,1
2022-07-13,Total,359
2022-07-13,NYC,336
2022-07-13,Westchester,12
2022-07-13,Suffolk,4
2022-07-13,Nassau,2
2022-07-13,Sullivan,1
2022-07-13,Chemung,1
2022-07-13,Rockland,1
2022-07-13,Erie,1
2022-07-13,St,1
2022-07-14,Total,414
2022-07-14,NYC,389
2022-07-14,Westchester,12
2022-07-14,Suffolk,4
2022-07-14,Nassau,3
2022-07-14,Sullivan,1
2022-07-14,Chemung,1
2022-07-14,Rockland,1
2022-07-14,Erie,1
2022-07-14,St,1
2022-07-14,in,1
2022-07-15,Total,490
2022-07-15,NYC,461
2022-07-15,Westchester,16
2022-07-15,Suffolk,4
2022-07-15,Nassau,3
2022-07-15,Sullivan,1
2022-07-15,Chemung,1
2022-07-15,Rockland,1
2022-07-15,Erie,1
2022-07-15,St,1
2022-07-15,in,1
2022-07-18,Total,651
2022-07-18,NYC,618
2022-07-18,Westchester,16
2022-07-18,Suffolk,5
2022-07-18,Nassau,3
2022-07-18,Monroe,3
2022-07-18,Erie,2
2022-07-18,Sullivan,1
2022-07-18,Chemung,1
2022-07-18,Rockland,1
2022-07-18,St,1
2022-07-19,Total,679
2022-07-19,NYC,639
2022-07-19,Westchester,18
2022-07-19,Suffolk,5
2022-07-19,Nassau,5
2022-07-19,Monroe,4
2022-07-19,Erie,2
2022-07-19,Sullivan,1
2022-07-19,Chemung,1
2022-07-19,Rockland,1
2022-07-19,St,1
2022-07-19,Tompkins,1
2022-07-19,Albany,1
2022-07-20,Total,756
2022-07-20,NYC,711
2022-07-20,Westchester,18
2022-07-20,Suffolk,9
2022-07-20,Nassau,4
2022-07-20,Monroe,4
2022-07-20,Erie,2
2022-07-20,Sullivan,1
2022-07-20,Chemung,1
2022-07-20,Rockland,1
2022-07-20,St,1
2022-07-20,Tompkins,1
2022-07-20,Albany,1
2022-07-20,Orange,1
2022-07-20,Greene,1
2022-07-21,Total,831
2022-07-21,NYC,778
2022-07-21,Westchester,23
2022-07-21,Suffolk,10
2022-07-21,Nassau,4
2022-07-21,Monroe,4
2022-07-21,Erie,2
2022-07-21,Sullivan,1
2022-07-21,Chemung,1
2022-07-21,Rockland,1
2022-07-21,St,1
2022-07-21,Tompkins,1
2022-07-21,Albany,1
2022-07-21,Orange,1
2022-07-21,Greene,1
2022-07-21,Dutchess,1
2022-07-21,Total,830
2022-07-22,Total,900
2022-07-22,NYC,839
2022-07-22,Westchester,25
2022-07-22,Suffolk,13
2022-07-22,Nassau,5
2022-07-22,Monroe,4
2022-07-22,Rockland,3
2022-07-22,Erie,2
2022-07-22,Sullivan,1
2022-07-22,Chemung,1
2022-07-22,St,1
2022-07-22,Tompkins,1
2022-07-22,Albany,1
2022-07-22,Orange,1
2022-07-22,Greene,1
2022-07-22,Dutchess,1
2022-07-22,Columbia,1
2022-07-25,Albany,1
2022-07-25,Chemung,1
2022-07-25,Columbia,1
2022-07-25,Dutchess,3
2022-07-25,Erie,4
2022-07-25,Greene,1
2022-07-25,Monroe,4
2022-07-25,Nassau,6
2022-07-25,Niagara,1
2022-07-25,Orange,2
2022-07-25,Rockland,3
2022-07-25,St Lawrence,1
2022-07-25,Suffolk,16
2022-07-25,Sullivan,1
2022-07-25,Tompkins,1
2022-07-25,Westchester,25
2022-07-25,NYC,1040
2022-07-25,Total,1111
